temperature,current_cost,best_cost
99.5,39371,24099
99.0025,24958,24099
98.5074875,24911,24062
98.01495006249999,24851,23874
97.52487531218749,23874,23723
97.03725093562655,25042,23723
96.55206468094842,24499,23723
96.06930435754367,24575,23723
95.58895783575595,25443,23723
95.11101304657717,25168,23723
94.63545798134429,25336,23723
94.16228069143757,24228,23723
93.69146928798038,25100,23723
93.22301194154048,25238,23723
92.75689688183277,24350,23723
92.29311239742361,24921,23723
91.8316468354365,24581,23723
91.37248860125932,25131,23723
90.91562615825302,24546,23723
90.46104802746176,24479,23277
90.00874278732445,25012,23277
89.55869907338783,24989,23277
89.11090557802089,24678,23277
88.66535105013078,24306,23277
88.22202429488013,24438,23277
87.78091417340573,24793,23277
87.34200960253871,24622,23277
86.90529955452601,25114,23277
86.47077305675337,24637,23277
86.0384191914696,25379,23277
85.60822709551225,24956,23277
85.18018596003469,24487,23277
84.75428503023451,24860,23277
84.33051360508334,25010,23277
83.90886103705792,24584,23277
83.48931673187263,25314,23277
83.07187014821326,24356,23277
82.6565107974722,24393,23277
82.24322824348484,24396,23277
81.83201210226741,24833,23277
81.42285204175607,24464,23277
81.01573778154729,25333,23277
80.61065909263955,25054,23277
80.20760579717636,24344,23277
79.80656776819048,24154,23277
79.40753492934952,24851,23277
79.01049725470277,24238,23277
78.61544476842926,24616,23277
78.22236754458712,24025,23231
77.83125570686418,24837,23231
77.44209942832987,25337,23231
77.05488893118822,24980,23231
76.66961448653227,24661,23231
76.2862664140996,24100,23231
75.9048350820291,23687,23231
75.52531090661896,24842,23231
75.14768435208586,24906,23231
74.77194593032543,25133,23231
74.3980862006738,24353,23231
74.02609576967043,24437,23231
73.65596529082208,25049,23231
73.28768546436797,24988,23231
72.92124703704613,23550,23231
72.5566408018609,24244,23231
72.19385759785159,23551,23189
71.83288830986233,24480,23189
71.47372386831302,24223,23189
71.11635524897144,24713,23189
70.76077347272658,24282,23189
70.40696960536295,24031,23189
70.05493475733613,24483,23189
69.70466008354944,25099,23109
69.35613678313169,24734,23109
69.00935609921603,23501,23109
68.66430931871996,23552,23024
68.32098777212636,23644,23024
67.97938283326573,23644,23024
67.6394859190994,24717,23024
67.3012884895039,23904,23024
66.96478204705639,24857,23024
66.6299581368211,23780,23024
66.296808346137,23650,23001
65.96532430440631,24397,23001
65.63549768288428,24125,23001
65.30732019446985,24563,22973
64.9807835934975,23258,22973
64.65587967553002,24042,22973
64.33260027715237,24482,22973
64.01093727576661,24156,22973
63.690882589387776,24492,22971
63.372428176440835,23718,22971
63.05556603555863,24536,22971
62.740288205380836,24404,22971
62.42658676435393,24734,22971
62.114453830532156,24343,22971
61.8038815613795,23986,22971
61.4948621535726,24005,22971
61.18738784280473,23777,22971
60.88145090359071,24301,22961
60.577043649072756,23690,22961
60.27415843082739,23806,22961
59.97278763867325,24359,22961
59.672923700479885,23292,22961
59.37455908197749,24225,22961
59.0776862865676,23925,22961
58.78229785513476,24333,22756
58.488386365859085,23203,22756
58.19594443402979,24099,22756
57.90496471185964,23696,22756
57.615439888300344,23969,22756
57.32736268885884,23796,22697
57.040725875414545,23601,22697
56.75552224603747,23406,22697
56.47174463480729,23644,22697
56.18938591163325,23927,22697
55.90843898207508,24024,22697
55.628896787164706,23698,22697
55.35075230322888,24588,22192
55.07399854171273,22232,22192
54.79862854900417,24427,22192
54.52463540625915,23455,22192
54.25201222922785,23499,22192
53.980752168081715,23621,22192
53.71084840724131,23322,22192
53.4422941652051,23796,22192
53.17508269437907,23539,22192
52.909207280907175,24075,22192
52.644661244502636,23326,22192
52.38143793828012,23643,22192
52.11953074858872,23463,22192
51.85893309484578,23532,22192
51.59963842937155,23919,22192
51.341640237224695,23608,22192
51.08493203603857,23032,22192
50.82950737585838,23611,22192
50.57535983897908,23053,22192
50.32248303978419,23266,22192
50.07087062458527,23076,22192
49.82051627146234,22933,22192
49.571413690105025,23211,22192
49.3235566216545,23546,22192
49.076938838546226,22891,22192
48.8315541443535,23297,22192
48.58739637363173,23644,22192
48.344459391763564,22982,22192
48.102737094804745,23081,22192
47.862223409330724,23725,22192
47.62291229228407,23135,22145
47.38479773082265,23017,22145
47.147873742168535,23049,22145
46.91213437345769,22791,22145
46.677573701590404,22392,22145
46.44418583308245,22726,22145
46.211964903917035,23675,22145
45.98090507939745,22326,22129
45.75100055400046,23842,22129
45.52224555123046,22572,21926
45.29463432347431,23396,21926
45.06816115185694,22859,21718
44.84282034609765,22314,21718
