attempted,accepted,acceptance_ratio
4000,3622,0.9055
4000,3592,0.898
4000,3585,0.89625
4000,3586,0.8965
4000,3630,0.9075
4000,3602,0.9005
4000,3576,0.894
4000,3560,0.89
4000,3563,0.89075
4000,3574,0.8935
4000,3562,0.8905
4000,3593,0.89825
4000,3594,0.8985
4000,3582,0.8955
4000,3551,0.88775
4000,3584,0.896
4000,3559,0.88975
4000,3580,0.895
4000,3555,0.88875
4000,3594,0.8985
4000,3583,0.89575
4000,3580,0.895
4000,3547,0.88675
4000,3515,0.87875
4000,3530,0.8825
4000,3531,0.88275
4000,3559,0.88975
4000,3555,0.88875
4000,3548,0.887
4000,3559,0.88975
4000,3528,0.882
4000,3513,0.87825
4000,3578,0.8945
4000,3555,0.88875
4000,3532,0.883
4000,3505,0.87625
4000,3539,0.88475
4000,3530,0.8825
4000,3504,0.876
4000,3511,0.87775
4000,3536,0.884
4000,3527,0.88175
4000,3554,0.8885
4000,3489,0.87225
4000,3522,0.8805
4000,3537,0.88425
4000,3471,0.86775
4000,3518,0.8795
4000,3485,0.87125
4000,3459,0.86475
4000,3521,0.88025
4000,3486,0.8715
4000,3477,0.86925
4000,3481,0.87025
4000,3513,0.87825
4000,3493,0.87325
4000,3504,0.876
4000,3466,0.8665
4000,3448,0.862
4000,3418,0.8545
4000,3468,0.867
4000,3455,0.86375
4000,3463,0.86575
4000,3451,0.86275
4000,3431,0.85775
4000,3481,0.87025
4000,3479,0.86975
4000,3456,0.864
4000,3448,0.862
4000,3463,0.86575
4000,3431,0.85775
4000,3433,0.85825
4000,3415,0.85375
4000,3432,0.858
4000,3382,0.8455
4000,3403,0.85075
4000,3405,0.85125
4000,3438,0.8595
4000,3394,0.8485
4000,3431,0.85775
4000,3364,0.841
4000,3382,0.8455
4000,3436,0.859
4000,3368,0.842
4000,3382,0.8455
4000,3350,0.8375
4000,3351,0.83775
4000,3429,0.85725
4000,3379,0.84475
4000,3428,0.857
4000,3367,0.84175
4000,3392,0.848
4000,3372,0.843
4000,3372,0.843
4000,3368,0.842
4000,3372,0.843
4000,3381,0.84525
4000,3379,0.84475
4000,3312,0.828
4000,3314,0.8285
4000,3378,0.8445
4000,3310,0.8275
4000,3318,0.8295
4000,3307,0.82675
4000,3353,0.83825
4000,3317,0.82925
4000,3348,0.837
4000,3335,0.83375
4000,3297,0.82425
4000,3313,0.82825
4000,3292,0.823
4000,3305,0.82625
4000,3300,0.825
4000,3294,0.8235
4000,3333,0.83325
4000,3282,0.8205
4000,3281,0.82025
4000,3267,0.81675
4000,3261,0.81525
4000,3284,0.821
4000,3252,0.813
4000,3311,0.82775
4000,3306,0.8265
4000,3272,0.818
4000,3249,0.81225
4000,3313,0.82825
4000,3267,0.81675
4000,3288,0.822
4000,3244,0.811
4000,3263,0.81575
4000,3254,0.8135
4000,3226,0.8065
4000,3207,0.80175
4000,3265,0.81625
4000,3252,0.813
4000,3205,0.80125
4000,3253,0.81325
4000,3255,0.81375
4000,3228,0.807
4000,3220,0.805
4000,3276,0.819
4000,3183,0.79575
4000,3219,0.80475
4000,3226,0.8065
4000,3186,0.7965
4000,3199,0.79975
4000,3197,0.79925
4000,3150,0.7875
4000,3148,0.787
4000,3184,0.796
4000,3183,0.79575
4000,3127,0.78175
4000,3141,0.78525
4000,3167,0.79175
4000,3165,0.79125
4000,3259,0.81475
4000,3136,0.784
4000,3165,0.79125
4000,3130,0.7825
4000,3057,0.76425
4000,3080,0.77
4000,3100,0.775
4000,3170,0.7925
4000,3098,0.7745
4000,3126,0.7815
4000,3128,0.782
4000,3157,0.78925
4000,3108,0.777
4000,3058,0.7645
4000,3070,0.7675
4000,3127,0.78175
4000,3018,0.7545
4000,3089,0.77225
4000,3130,0.7825
4000,3069,0.76725
4000,3091,0.77275
4000,3107,0.77675
4000,3069,0.76725
4000,3016,0.754
4000,3099,0.77475
4000,3052,0.763
4000,3035,0.75875
4000,2971,0.74275
4000,3026,0.7565
4000,2954,0.7385
4000,3011,0.75275
4000,3043,0.76075
4000,3060,0.765
4000,3013,0.75325
4000,3034,0.7585
4000,3032,0.758
4000,3054,0.7635
4000,2988,0.747
4000,2983,0.74575
4000,2945,0.73625
4000,2920,0.73
4000,3013,0.75325
4000,2933,0.73325
4000,2941,0.73525
4000,2876,0.719
4000,2922,0.7305
4000,2996,0.749
4000,2868,0.717
4000,2887,0.72175
4000,3003,0.75075
4000,2888,0.722
4000,2923,0.73075
4000,2897,0.72425
4000,2866,0.7165
4000,2895,0.72375
4000,2884,0.721
4000,2852,0.713
4000,2943,0.73575
4000,2855,0.71375
4000,2910,0.7275
4000,2872,0.718
4000,2867,0.71675
4000,2885,0.72125
4000,2852,0.713
4000,2883,0.72075
4000,2891,0.72275
4000,2827,0.70675
4000,2791,0.69775
4000,2828,0.707
4000,2883,0.72075
4000,2820,0.705
4000,2826,0.7065
4000,2819,0.70475
4000,2790,0.6975
4000,2807,0.70175
4000,2757,0.68925
4000,2790,0.6975
4000,2806,0.7015
4000,2773,0.69325
4000,2756,0.689
4000,2755,0.68875
4000,2765,0.69125
4000,2750,0.6875
4000,2749,0.68725
4000,2744,0.686
4000,2728,0.682
4000,2663,0.66575
4000,2673,0.66825
4000,2736,0.684
4000,2725,0.68125
4000,2753,0.68825
4000,2644,0.661
4000,2752,0.688
4000,2717,0.67925
4000,2666,0.6665
4000,2745,0.68625
4000,2712,0.678
4000,2688,0.672
4000,2647,0.66175
4000,2739,0.68475
4000,2612,0.653
4000,2656,0.664
4000,2693,0.67325
4000,2645,0.66125
4000,2595,0.64875
4000,2563,0.64075
4000,2599,0.64975
4000,2620,0.655
4000,2600,0.65
4000,2593,0.64825
4000,2645,0.66125
4000,2641,0.66025
4000,2627,0.65675
4000,2607,0.65175
4000,2541,0.63525
4000,2584,0.646
4000,2544,0.636
4000,2539,0.63475
4000,2585,0.64625
4000,2543,0.63575
4000,2550,0.6375
4000,2545,0.63625
4000,2514,0.6285
4000,2546,0.6365
4000,2526,0.6315
4000,2556,0.639
4000,2434,0.6085
4000,2487,0.62175
4000,2411,0.60275
4000,2504,0.626
4000,2463,0.61575
4000,2458,0.6145
4000,2504,0.626
4000,2472,0.618
4000,2453,0.61325
4000,2464,0.616
4000,2444,0.611
4000,2426,0.6065
4000,2360,0.59
4000,2346,0.5865
4000,2370,0.5925
4000,2380,0.595
4000,2445,0.61125
4000,2359,0.58975
4000,2320,0.58
4000,2412,0.603
4000,2323,0.58075
4000,2396,0.599
4000,2339,0.58475
4000,2319,0.57975
4000,2302,0.5755
4000,2342,0.5855
4000,2340,0.585
4000,2351,0.58775
4000,2337,0.58425
4000,2237,0.55925
4000,2318,0.5795
4000,2305,0.57625
4000,2258,0.5645
4000,2343,0.58575
4000,2245,0.56125
4000,2341,0.58525
4000,2350,0.5875
4000,2318,0.5795
4000,2255,0.56375
4000,2216,0.554
4000,2166,0.5415
4000,2144,0.536
4000,2208,0.552
4000,2156,0.539
4000,2262,0.5655
4000,2225,0.55625
4000,2226,0.5565
4000,2185,0.54625
4000,2200,0.55
4000,2204,0.551
4000,2130,0.5325
4000,2182,0.5455
4000,2223,0.55575
4000,2124,0.531
4000,2134,0.5335
4000,2112,0.528
4000,2116,0.529
4000,2025,0.50625
4000,2090,0.5225
4000,2143,0.53575
4000,2064,0.516
4000,2121,0.53025
4000,2055,0.51375
4000,2026,0.5065
4000,2107,0.52675
4000,2041,0.51025
4000,1940,0.485
4000,2036,0.509
4000,2050,0.5125
4000,1997,0.49925
4000,2002,0.5005
4000,1992,0.498
4000,1972,0.493
4000,2043,0.51075
4000,2051,0.51275
4000,2016,0.504
4000,2045,0.51125
4000,2007,0.50175
4000,2011,0.50275
4000,1908,0.477
4000,1895,0.47375
4000,1985,0.49625
4000,1929,0.48225
4000,1900,0.475
4000,1894,0.4735
4000,1835,0.45875
4000,1952,0.488
4000,1906,0.4765
4000,1862,0.4655
4000,1934,0.4835
4000,1916,0.479
4000,1816,0.454
4000,1831,0.45775
4000,1905,0.47625
4000,1816,0.454
4000,1911,0.47775
4000,1824,0.456
4000,1826,0.4565
4000,1842,0.4605
4000,1726,0.4315
4000,1765,0.44125
4000,1810,0.4525
4000,1808,0.452
4000,1773,0.44325
4000,1778,0.4445
4000,1804,0.451
4000,1730,0.4325
4000,1668,0.417
4000,1707,0.42675
4000,1737,0.43425
4000,1733,0.43325
4000,1645,0.41125
4000,1697,0.42425
4000,1659,0.41475
4000,1648,0.412
4000,1746,0.4365
4000,1800,0.45
4000,1755,0.43875
4000,1625,0.40625
4000,1628,0.407
4000,1613,0.40325
4000,1679,0.41975
4000,1593,0.39825
4000,1533,0.38325
4000,1563,0.39075
4000,1612,0.403
4000,1614,0.4035
4000,1606,0.4015
4000,1592,0.398
4000,1620,0.405
4000,1557,0.38925
4000,1598,0.3995
4000,1546,0.3865
4000,1547,0.38675
4000,1551,0.38775
4000,1463,0.36575
4000,1543,0.38575
4000,1528,0.382
4000,1487,0.37175
4000,1564,0.391
