temperature,current_cost,best_cost
9.9,39371,28463
9.801,28474,23534
9.70299,23540,20907
9.605960099999999,20907,19366
9.509900498999999,19366,18342
9.414801494009998,18342,17666
9.320653479069898,17686,17133
9.2274469442792,17157,16327
9.135172474836407,16327,15863
9.043820750088043,15879,15547
8.953382542587162,15566,15161
8.863848717161291,15218,15057
8.775210229989678,15057,14839
8.687458127689782,14877,14781
8.600583546412883,14814,14351
8.514577710948755,14369,14131
8.429431933839268,14201,14131
8.345137614500876,14342,14131
8.261686238355868,14517,14131
8.17906937597231,14503,14131
8.097278682212586,14323,14131
8.01630589539046,14177,13881
7.936142836436555,13886,13822
7.856781408072189,13839,13783
7.778213593991468,13847,13735
7.700431458051553,13857,13665
7.623427143471037,13695,13649
7.547192872036327,13657,13419
7.4717209433159635,13465,13352
7.397003733882804,13374,12963
7.323033696543976,12973,12848
7.249803359578536,12868,12704
7.177305325982751,12774,12691
7.105532272722923,12731,12523
7.034476949995693,12593,12464
6.964132180495737,12464,12195
6.894490858690779,12197,12149
6.825545950103871,12183,12125
6.757290490602832,12179,12103
6.689717585696804,12149,12103
6.622820409839836,12191,12037
6.556592205741437,12050,11898
6.491026283684023,11992,11757
6.426116020847182,11803,11618
6.361854860638711,11626,11548
6.298236312032324,11649,11548
6.235253948912001,11728,11548
6.172901409422881,11672,11548
6.111172395328652,11639,11543
6.050060671375365,11545,11519
5.989560064661611,11541,11471
5.929664464014995,11471,11290
5.870367819374845,11310,11242
5.8116641411810965,11293,11242
5.753547499769286,11270,11242
5.696012024771592,11366,11242
5.6390519045238765,11317,11242
5.582661385478637,11285,11222
5.526834771623851,11266,11204
5.471566423907612,11241,11133
5.416850759668536,11133,11071
5.362682252071851,11097,10987
5.309055429551132,10987,10816
5.2559648752556205,10816,10754
5.203405226503064,10754,10682
5.151371174238034,10742,10566
5.099857462495653,10584,10532
5.048858887870697,10543,10532
4.99837029899199,10540,10452
4.94838659600207,10456,10380
4.89890273004205,10391,10360
4.849913702741629,10366,10264
4.801414565714213,10308,10239
4.75340042005707,10239,10217
4.7058664158565,10257,10217
4.6588077516979345,10334,10217
4.612219674180955,10304,10217
4.566097477439145,10244,10217
4.5204365026647535,10239,10149
4.475232137638106,10149,10092
4.430479816261725,10108,10002
4.386175018099108,10002,9895
4.342313267918117,9901,9895
4.298890135238936,9935,9889
4.255901233886546,9911,9797
4.213342221547681,9797,9775
4.171208799332204,9811,9739
4.129496711338882,9743,9702
4.0882017442254925,9702,9630
4.047319726783238,9643,9572
4.006846529515405,9614,9534
3.966778064220251,9534,9514
3.9271102835780485,9522,9494
3.887839180742268,9514,9444
3.848960788934845,9444,9396
3.8104711810454965,9419,9331
3.7723664692350414,9337,9303
3.7346428045426907,9338,9259
3.6972963764972637,9267,9173
3.660323412732291,9173,9067
3.623720178604968,9087,9041
3.5874829768189187,9043,8999
3.5516081470507297,9009,8957
3.5160920655802226,8957,8900
3.4809311449244205,8936,8897
3.446121833475176,8901,8833
3.4116606151404243,8843,8799
3.37754400898902,8813,8757
3.34376856889913,8757,8747
3.3103308832101384,8785,8747
3.277227574378037,8767,8709
3.2444552986342567,8709,8703
3.2120107456479143,8715,8685
3.179890638191435,8689,8647
3.148091731809521,8667,8641
3.1166108144914255,8657,8614
3.0854447063465114,8630,8596
3.0545902592830463,8599,8557
3.024044356690216,8576,8508
2.9938039131233136,8512,8492
2.9638658739920807,8498,8460
2.93422721525216,8475,8460
2.9048849430996384,8497,8460
2.875836093668642,8466,8427
2.847077732731955,8427,8403
2.818606955404636,8421,8399
2.7904208858505894,8417,8375
2.7625166769920835,8379,8373
2.7348915102221625,8374,8321
2.707542595119941,8327,8309
2.6804671691687414,8317,8277
2.653662497477054,8277,8233
2.6271258725022832,8233,8225
2.6008546137772606,8251,8197
2.5748460676394878,8225,8197
2.549097606963093,8217,8159
2.523606630893462,8173,8125
2.498370564584527,8147,8087
2.4733868589386816,8091,8071
2.4486529903492946,8073,8071
2.4241664604458015,8084,8071
2.3999247958413434,8086,8043
