attempted,accepted,acceptance_ratio
500,383,0.766
500,318,0.636
500,259,0.518
500,218,0.436
500,211,0.422
500,179,0.358
500,192,0.384
500,175,0.35
500,157,0.314
500,158,0.316
500,133,0.266
500,145,0.29
500,129,0.258
500,158,0.316
500,130,0.26
500,128,0.256
500,120,0.24
500,131,0.262
500,134,0.268
500,115,0.23
500,121,0.242
500,111,0.222
500,111,0.222
500,124,0.248
500,99,0.198
500,117,0.234
500,120,0.24
500,118,0.236
500,103,0.206
500,110,0.22
500,97,0.194
500,114,0.228
500,100,0.2
500,102,0.204
500,90,0.18
500,93,0.186
500,78,0.156
500,91,0.182
500,96,0.192
500,90,0.18
500,89,0.178
500,79,0.158
500,94,0.188
500,91,0.182
500,66,0.132
500,84,0.168
500,84,0.168
500,72,0.144
500,77,0.154
500,64,0.128
500,86,0.172
500,75,0.15
500,69,0.138
500,64,0.128
500,69,0.138
500,66,0.132
500,72,0.144
500,77,0.154
500,68,0.136
500,79,0.158
500,72,0.144
500,66,0.132
500,76,0.152
500,58,0.116
500,62,0.124
500,70,0.14
500,62,0.124
500,47,0.094
500,67,0.134
500,52,0.104
500,49,0.098
500,52,0.104
500,66,0.132
500,50,0.1
500,63,0.126
500,60,0.12
500,66,0.132
500,52,0.104
500,62,0.124
500,43,0.086
500,49,0.098
500,45,0.09
500,48,0.096
500,58,0.116
500,54,0.108
500,42,0.084
500,48,0.096
500,45,0.09
500,49,0.098
500,46,0.092
500,60,0.12
500,44,0.088
500,44,0.088
500,41,0.082
500,48,0.096
500,57,0.114
500,39,0.078
500,42,0.084
500,38,0.076
500,50,0.1
500,47,0.094
500,35,0.07
500,42,0.084
500,32,0.064
500,35,0.07
500,47,0.094
500,38,0.076
500,39,0.078
500,36,0.072
500,39,0.078
500,44,0.088
500,31,0.062
500,26,0.052
500,38,0.076
500,26,0.052
500,30,0.06
500,25,0.05
500,23,0.046
500,44,0.088
500,28,0.056
500,34,0.068
500,33,0.066
500,42,0.084
500,22,0.044
500,34,0.068
500,26,0.052
500,34,0.068
500,44,0.088
500,31,0.062
500,35,0.07
500,27,0.054
500,24,0.048
500,33,0.066
500,38,0.076
500,20,0.04
500,28,0.056
500,26,0.052
500,26,0.052
500,25,0.05
500,29,0.058
500,25,0.05
500,36,0.072
500,31,0.062
500,26,0.052
500,27,0.054
500,32,0.064
500,24,0.048
500,25,0.05
500,21,0.042
500,30,0.06
500,13,0.026
500,24,0.048
500,30,0.06
500,22,0.044
500,32,0.064
500,20,0.04
500,17,0.034
500,21,0.042
500,21,0.042
500,21,0.042
500,18,0.036
500,21,0.042
500,22,0.044
500,25,0.05
500,23,0.046
500,16,0.032
500,15,0.03
500,20,0.04
500,25,0.05
500,22,0.044
500,14,0.028
500,20,0.04
500,18,0.036
500,24,0.048
500,15,0.03
500,16,0.032
500,10,0.02
500,16,0.032
500,15,0.03
500,13,0.026
500,20,0.04
500,14,0.028
500,20,0.04
500,17,0.034
500,17,0.034
500,13,0.026
500,20,0.04
500,18,0.036
500,15,0.03
500,22,0.044
500,17,0.034
500,16,0.032
500,14,0.028
500,13,0.026
500,12,0.024
500,15,0.03
500,21,0.042
500,11,0.022
500,17,0.034
500,15,0.03
500,13,0.026
500,14,0.028
500,19,0.038
500,16,0.032
500,15,0.03
500,20,0.04
500,19,0.038
500,13,0.026
500,17,0.034
500,6,0.012
500,14,0.028
500,11,0.022
500,14,0.028
500,7,0.014
500,18,0.036
500,14,0.028
500,13,0.026
500,20,0.04
500,9,0.018
500,15,0.03
500,14,0.028
500,6,0.012
500,12,0.024
500,15,0.03
500,13,0.026
500,17,0.034
500,13,0.026
500,18,0.036
500,15,0.03
500,11,0.022
500,10,0.02
500,12,0.024
500,10,0.02
500,16,0.032
500,11,0.022
500,16,0.032
500,15,0.03
500,9,0.018
500,11,0.022
500,13,0.026
500,12,0.024
500,13,0.026
500,17,0.034
500,13,0.026
500,12,0.024
500,15,0.03
500,18,0.036
500,9,0.018
500,8,0.016
500,11,0.022
500,11,0.022
500,8,0.016
500,7,0.014
500,10,0.02
500,7,0.014
500,11,0.022
500,11,0.022
500,9,0.018
500,6,0.012
500,13,0.026
500,7,0.014
500,6,0.012
500,7,0.014
500,10,0.02
500,13,0.026
500,9,0.018
500,12,0.024
500,13,0.026
500,11,0.022
500,14,0.028
500,11,0.022
500,12,0.024
500,11,0.022
500,11,0.022
500,8,0.016
500,9,0.018
500,7,0.014
500,8,0.016
500,14,0.028
500,10,0.02
500,11,0.022
500,7,0.014
500,10,0.02
500,3,0.006
500,10,0.02
500,10,0.02
500,7,0.014
500,6,0.012
500,10,0.02
500,8,0.016
500,10,0.02
500,6,0.012
500,12,0.024
500,9,0.018
500,10,0.02
500,2,0.004
500,9,0.018
500,8,0.016
500,8,0.016
500,14,0.028
