step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,10.0,88.0,114.0,181.0,0.9048374180359595,1.71661376953125e-05
2.0,9.99,88.0,118.0,179.0,0.9047468482529377,0.0004520416259765625
3.0,9.98001,86.0,110.0,185.0,0.9046561968886792,0.0008511543273925781
4.0,9.97002999,86.0,110.0,174.0,0.9045654638787952,0.0012640953063964844
5.0,9.96005996001,86.0,114.0,199.0,0.9044746491588648,0.0016560554504394531
6.0,9.95009990004999,78.0,111.0,173.0,0.904383752664434,0.0020542144775390625
7.0,9.940149800149939,78.0,106.0,180.0,0.9042927743310167,0.002454996109008789
8.0,9.93020965034979,78.0,113.0,176.0,0.9042017140940946,0.0028390884399414062
9.0,9.92027944069944,78.0,108.0,169.0,0.9041105718891163,0.003231048583984375
10.0,9.910359161258741,78.0,104.0,158.0,0.9040193476514986,0.003618001937866211
11.0,9.900448802097483,78.0,124.0,176.0,0.9039280413166257,0.004006147384643555
12.0,9.890548353295385,78.0,108.0,176.0,0.9038366528198497,0.004401206970214844
13.0,9.88065780494209,78.0,118.0,153.0,0.9037451820964901,0.0048220157623291016
14.0,9.870777147137147,78.0,112.0,185.0,0.9036536290818343,0.005426883697509766
15.0,9.86090636999001,73.0,121.0,165.0,0.9035619937111373,0.0058422088623046875
16.0,9.85104546362002,73.0,114.0,178.0,0.9034702759196221,0.006246089935302734
17.0,9.8411944181564,73.0,102.0,175.0,0.9033784756424792,0.006665945053100586
18.0,9.831353223738244,73.0,125.0,176.0,0.9032865928148672,0.007182121276855469
19.0,9.821521870514506,73.0,116.0,169.0,0.9031946273719123,0.007525205612182617
20.0,9.81170034864399,73.0,112.0,177.0,0.9031025792487087,0.007865190505981445
21.0,9.801888648295346,73.0,120.0,170.0,0.9030104483803185,0.008210182189941406
22.0,9.79208675964705,73.0,121.0,169.0,0.9029182347017718,0.008558034896850586
23.0,9.782294672887403,73.0,126.0,169.0,0.9028259381480663,0.008901119232177734
24.0,9.772512378214515,73.0,84.0,180.0,0.9027335586541682,0.009237051010131836
25.0,9.7627398658363,73.0,92.0,159.0,0.9026410961550111,0.009578943252563477
26.0,9.752977125970464,73.0,110.0,176.0,0.9025485505854971,0.009922981262207031
27.0,9.743224148844494,73.0,116.0,188.0,0.9024559218804963,0.010279178619384766
28.0,9.73348092469565,73.0,107.0,164.0,0.9023632099748465,0.010618209838867188
29.0,9.723747443770954,73.0,106.0,174.0,0.902270414803354,0.010941267013549805
30.0,9.714023696327184,73.0,97.0,178.0,0.9021775363007932,0.011387109756469727
31.0,9.704309672630856,73.0,114.0,171.0,0.9020845744019065,0.011757135391235352
32.0,9.694605362958225,73.0,127.0,166.0,0.9019915290414043,0.012115955352783203
33.0,9.684910757595267,73.0,122.0,172.0,0.9018984001539658,0.012477874755859375
34.0,9.675225846837671,73.0,123.0,174.0,0.9018051876742379,0.012835979461669922
35.0,9.665550620990834,73.0,120.0,176.0,0.901711891536836,0.013195991516113281
36.0,9.655885070369843,73.0,124.0,167.0,0.9016185116763438,0.013546943664550781
37.0,9.646229185299473,73.0,94.0,166.0,0.901525048027313,0.013987064361572266
38.0,9.636582956114173,73.0,105.0,183.0,0.9014315005242642,0.014417171478271484
39.0,9.62694637315806,73.0,116.0,166.0,0.9013378691016861,0.014847040176391602
40.0,9.617319426784901,73.0,106.0,174.0,0.9012441536940357,0.015355110168457031
41.0,9.607702107358117,73.0,105.0,171.0,0.9011503542357384,0.015716075897216797
42.0,9.598094405250759,73.0,101.0,164.0,0.9010564706611884,0.016082048416137695
43.0,9.588496310845509,73.0,100.0,147.0,0.9009625029047481,0.01644110679626465
44.0,9.578907814534663,73.0,116.0,168.0,0.9008684509007485,0.01679205894470215
45.0,9.569328906720129,73.0,92.0,170.0,0.9007743145834891,0.017153024673461914
46.0,9.55975957781341,73.0,115.0,171.0,0.9006800938872381,0.017490148544311523
47.0,9.550199818235596,73.0,109.0,163.0,0.9005857887462322,0.017838001251220703
48.0,9.54064961841736,73.0,127.0,173.0,0.9004913990946766,0.018218040466308594
49.0,9.531108968798943,73.0,97.0,154.0,0.9003969248667455,0.01856517791748047
50.0,9.521577859830144,73.0,113.0,143.0,0.9003023659965814,0.018913984298706055
51.0,9.512056281970313,73.0,98.0,159.0,0.900207722418296,0.019273996353149414
52.0,9.502544225688343,73.0,88.0,174.0,0.9001129940659692,0.019639968872070312
53.0,9.493041681462655,73.0,114.0,168.0,0.9000181808736503,0.020000934600830078
54.0,9.483548639781192,73.0,97.0,177.0,0.8999232827753565,0.020481109619140625
55.0,9.47406509114141,73.0,111.0,162.0,0.8998282997050749,0.02082204818725586
56.0,9.464591026050268,73.0,93.0,154.0,0.8997332315967607,0.021160125732421875
57.0,9.455126435024217,73.0,108.0,164.0,0.8996380783843384,0.021480083465576172
58.0,9.445671308589192,73.0,105.0,160.0,0.8995428400017011,0.021807193756103516
59.0,9.436225637280604,73.0,119.0,159.0,0.8994475163827113,0.022130966186523438
60.0,9.426789411643323,73.0,106.0,161.0,0.8993521074612001,0.022457122802734375
61.0,9.41736262223168,73.0,112.0,149.0,0.8992566131709677,0.022784948348999023
62.0,9.407945259609448,73.0,115.0,149.0,0.8991610334457835,0.0231630802154541
63.0,9.39853731434984,73.0,124.0,165.0,0.8990653682193858,0.02352309226989746
64.0,9.38913877703549,73.0,105.0,176.0,0.8989696174254821,0.023880958557128906
65.0,9.379749638258454,73.0,111.0,158.0,0.8988737809977492,0.02424001693725586
66.0,9.370369888620196,73.0,118.0,171.0,0.8987778588698327,0.024604082107543945
67.0,9.360999518731576,73.0,132.0,168.0,0.8986818509753478,0.02496504783630371
68.0,9.351638519212845,73.0,107.0,159.0,0.8985857572478786,0.02533698081970215
